message,intent,sentiment,pii
I was charged for a premium subscription renewal despite submitting a cancellation form.,Subscription,Negative,No
Why did your system allow a password change without requiring the old password first? You can reach me at 555-921-3042.,Security,Negative,Yes
"The account recovery process was secure yet straightforward, brilliant design.",Security,Positive,No
I want to change the profile display layout but cannot find the option.,Account,Neutral,No
I need a manual invoice generated for our procurement team.,Billing,Neutral,No
How do I change the default storage directory for downloaded files? My email address is david_k@outlook.com.,Technical,Neutral,Yes
My card issuer blocked your charge because your billing system looks suspicious.,Billing,Negative,No
How do I handle rate limiting issues when pulling large amounts of data?,Technical,Neutral,No
Where can I view the terms and conditions of my auto-renewing subscription?,Subscription,Neutral,No
The refund just cleared in my account. I appreciate the swift help.,Billing,Positive,No
Where can I find documentation outlining the differences between your plans?,Subscription,Neutral,No
The price on the website does not match what I was actually billed.,Billing,Negative,No
"The app's memory usage has dropped significantly, runs great on my older laptop.",Technical,Positive,No
Can I pay for an annual subscription using an international corporate check?,Subscription,Neutral,No
I have been trying to cancel this account subscription for three days straight without success.,Subscription,Negative,No
Please check if my subscription cancellation request went through successfully.,Subscription,Neutral,No
How do I check the list of currently active sessions and connected devices?,Security,Neutral,No
"I love the bonus features included in the Pro subscription package, totally worth it.",Subscription,Positive,No
Can I transfer my active subscription to a different user profile?,Subscription,Neutral,No
I received a payment failure notice but my card details seem correct.,Billing,Neutral,No
The discount was applied correctly on my last bill. Thank you so much.,Billing,Positive,No
The video playback feature is extremely glitchy and buffers constantly.,Technical,Negative,No
Can I change my username or is it permanently locked after registration?,Account,Neutral,No
I am stuck in an infinite redirect loop whenever I try to access the workspace.,Technical,Negative,No
"Can I use this software offline, or does it require a continuous internet connection?",Technical,Neutral,No
The renewal process was effortless and handled completely automatically. Great job! My email address is david_k@outlook.com.,Subscription,Positive,Yes
Your system deleted my custom profile settings during the recent platform update. You can reach me at +61 2 9374 2211.,Account,Negative,Yes
The account dashboard is completely blank and none of my details are visible. My account reference number is ACC-94821.,Account,Negative,Yes
I noticed a slight discrepancy in the tax calculation on my latest statement.,Billing,Neutral,No
I feel very safe using your platform thanks to your clear encryption standards. My email address is sara.smith.tech@yahoo.com.,Security,Positive,Yes
Your enterprise tier pricing is completely absurd compared to what features work.,Subscription,Negative,No
Is it possible to upgrade only specific user profiles within our organizational team?,Subscription,Neutral,No
How do I add five additional user seats to my existing corporate subscription? My email address is m.jones@protonmail.com.,Subscription,Neutral,Yes
I was charged for an entire year instead of the monthly plan I selected.,Billing,Negative,No
How can I check which credit card is currently set as primary?,Billing,Neutral,No
Highly impressed by how professional the financial support team is.,Billing,Positive,No
How do I apply a referral credit to my upcoming invoice?,Billing,Neutral,No
How can I adjust the refresh rate of the live data feed? My account reference number is ID_77301B.,Technical,Neutral,Yes
"The application keeps crashing immediately upon launch, I cannot do any work.",Technical,Negative,No
I cannot access my billing history because the page throws an error every time.,Billing,Negative,No
Your company's data handling practices seem completely unsecure and reckless.,Security,Negative,No
Is it possible to temporarily pause my subscription for a couple of months?,Subscription,Neutral,No
The software patch installed perfectly and solved all our synchronization errors. My account reference number is ID_77301B.,Technical,Positive,Yes
The data migration wizard crashed halfway through and left our system in a broken state.,Technical,Negative,No
Highly impressed by the uptime stability over the past few months.,Technical,Positive,No
This technical glitch is blocking our entire team from meeting an absolute deadline.,Technical,Negative,No
I am trying to update my company name in the account settings page.,Account,Neutral,No
Your desktop client is hogging 100% of my CPU and freezing my operating system.,Technical,Negative,No
The system automatically upgraded my subscription tier without my explicit authorization. My email address is m.jones@protonmail.com.,Subscription,Negative,Yes
I need to change the primary email address associated with my profile.,Account,Neutral,No
I am dealing with a broken subscription portal that shows completely wrong usage data.,Subscription,Negative,No
Are there any penalties or fees for canceling a subscription midway through the year?,Subscription,Neutral,No
I'm being billed for premium features that aren't even working on my profile.,Billing,Negative,No
Could you provide the IP addresses that need to be whitelisted for our firewall?,Technical,Neutral,No
Does your platform support Single Sign-On integration via SAML or OKTA? You can reach me at +61 2 9374 2211.,Security,Neutral,Yes
"Great job on the new desktop client, the performance improvement is night and day.",Technical,Positive,No
Please explain how to enable debug mode in the application settings.,Technical,Neutral,No
How do I switch my 2FA method from SMS verification to an authenticator app?,Security,Neutral,No
I am furious that my account was suspended for 'suspicious activity' when it was just me.,Security,Negative,No
Your security system is completely blocking our office IP address by mistake. My account reference number is usr_9482.,Security,Negative,Yes
I cannot disable SMS 2FA even though I no longer have access to that phone number.,Security,Negative,No
I'm experiencing an issue where my custom settings are wiped every time I log out.,Technical,Negative,No
Thanks for confirming that my account deletion request has been finalized.,Account,Positive,No
Can you please remove my old expired Visa card from the billing section? You can reach me at +1-555-0143.,Billing,Neutral,Yes
I need to modify the time zone settings on my profile.,Account,Neutral,No
Super impressed by how stable the mobile app has been since the last release. My email address is m.jones@protonmail.com.,Technical,Positive,Yes
Your system keeps rejecting my profile picture upload for no logical reason.,Account,Negative,No
I am losing business access because my team subscription dropped unexpectedly overnight.,Subscription,Negative,No
I am very pleased with how secure and well-managed my user profile feels.,Account,Positive,No
What forms of payment do you accept for the annual plan? You can reach me at +44 20 7946 0192.,Billing,Neutral,Yes
The data export link you sent me results in a broken file that won't open.,Account,Negative,No
How do I configure role-based access control for external contractors?,Security,Neutral,No
I want to cancel my plan immediately but your system keeps throwing an error message.,Subscription,Negative,No
The automated backup failed last night and there is no error explanation given.,Technical,Negative,No
Can I use a physical YubiKey for logging into my account?,Security,Neutral,No
This subscription error has completely halted our operations and caused massive delays.,Subscription,Negative,No
How do I link my social media accounts to this profile?,Account,Neutral,No
I was mistakenly downgraded to the free tier even though my subscription is paid for.,Subscription,Negative,No
Is there an option to automate data backups on a weekly basis?,Technical,Neutral,No
The subscription dashboard provides an excellent overview of our current usage limits.,Subscription,Positive,No
I am incredibly frustrated by the lack of clear subscription tier breakdown.,Subscription,Negative,No
I need information on the enterprise subscription plans and custom pricing.,Subscription,Neutral,No
I keep getting an 'Access Denied' error even though I have full admin privileges.,Technical,Negative,No
The currency conversion rate you applied is completely predatory.,Billing,Negative,No
Super happy with the transparent pricing structure on your subscription page.,Subscription,Positive,No
The security update was installed smoothly without interrupting my workflow.,Security,Positive,No
Can someone explain the line item labeled 'overage fees' on my bill?,Billing,Neutral,No
I need to update my security questions as I have forgotten the answers.,Security,Neutral,No
I need to check if my account data was affected by any recent security incidents. My account reference number is ACC-94821.,Security,Neutral,Yes
Your platform makes it intentionally confusing and difficult to cancel a subscription.,Subscription,Negative,No
Where do I go to change my language preferences inside the portal?,Account,Neutral,No
How do I update the security contact person for our corporate organization?,Security,Neutral,No
Really happy with the new profile customization features added recently.,Account,Positive,No
The system won't let me remove a team member from my corporate account roster.,Account,Negative,No
The fields in the profile edit section are overlapping and impossible to click.,Account,Negative,No
I want to dispute a charge on my account from yesterday.,Billing,Negative,No
I want to remove my personal details but the app forces me to keep fields filled.,Account,Negative,No
How can I enable two-factor authentication for all sub-accounts on my team?,Security,Neutral,No
Does this application support integration with third-party automation tools? My account reference number is usr_9482.,Technical,Neutral,Yes
Can I change the date on which my monthly subscription auto-renews?,Subscription,Neutral,No
"Is tax included in the listed monthly subscription price, or added on top?",Subscription,Neutral,No
Could you provide a breakdown of the processing fees applied here?,Billing,Neutral,No
"Every time I try to upgrade my subscription, the page completely freezes at checkout.",Subscription,Negative,No
What is the grace period if a subscription renewal payment is delayed?,Subscription,Neutral,No
I need to update my profile biography but it keeps getting cut off.,Account,Neutral,No
Your verification process is so convoluted that it's preventing legitimate access.,Security,Negative,No
Thanks for making it simple to transfer account ownership to my colleague.,Account,Positive,No
I am trying to generate a secure backup code in case I lose access to my phone.,Security,Neutral,No
The payment update screen is very user-friendly now. Thanks!,Billing,Positive,No
I would like to request an extension on my payment due date.,Billing,Neutral,No
I am locked out of my account due to a suspected breach and need immediate access!,Security,Negative,No
Your system automatically upgraded me and stole funds from my connected PayPal.,Billing,Negative,No
Your platform is completely incompatible with standard enterprise firewalls.,Technical,Negative,No
My account summary displays incorrect usage statistics that are totally wrong.,Account,Negative,No
The single sign-on integration was set up flawlessly by our IT group.,Security,Positive,No
Your documentation on data compliance and security measures is excellent.,Security,Positive,No
Very impressed by the continuous stream of new features added to our subscription.,Subscription,Positive,No
How do I opt out of promotional communications in my account?,Account,Neutral,No
I cannot connect to the database because of a broken SSL handshake error on your end.,Technical,Negative,No
Is there a way to receive billing alerts on a secondary email address?,Billing,Neutral,No
"The account creation confirmation email is taking hours to arrive, this is ridiculous. You can reach me at +1-555-0143.",Account,Negative,Yes
Your billing system keeps rejecting my perfectly valid credit card.,Billing,Negative,No
The plugin is causing my entire website to crash and display a fatal error.,Technical,Negative,No
How do I export the diagnostic report to send over to your technical team?,Technical,Neutral,No
Your security team is completely ignoring my report about a critical vulnerability.,Security,Negative,No
"Thanks for validating my promotional voucher, worked perfectly.",Billing,Positive,No
Thank you for notifying me well in advance of my upcoming subscription renewal.,Subscription,Positive,No
Can you tell me how long you retain user data after an account is closed?,Account,Neutral,No
Thank you for helping me review my active sessions and terminate old devices.,Security,Positive,No
I tried to merge my accounts and now all of my historical data is missing!,Account,Negative,No
What happens to my uploaded files if I decide to cancel my premium subscription?,Subscription,Neutral,No
"Every time I try to save my new profile settings, the webpage freezes entirely.",Account,Negative,No
Please send the monthly invoice directly to our accounting department email.,Billing,Neutral,No
"I cannot unlink my Facebook profile from this account, the button does nothing.",Account,Negative,No
I keep getting annoying popup alerts to upgrade my subscription while using the app.,Subscription,Negative,No
Why am I forced to contact support via email just to cancel a simple subscription?,Subscription,Negative,No
You have deactivated my account by mistake and I need access immediately for work.,Account,Negative,No
"Your system keeps sending my cleartext password in email notifications, stop this!",Security,Negative,No
I love how easy it is to switch between personal and business profiles.,Account,Positive,No
Your support team is ignoring my requests to reverse this accidental charge.,Billing,Negative,No
Your system forced me into an annual commitment when I clearly selected monthly.,Subscription,Negative,No
I cannot update my phone number because the confirmation code never arrives.,Account,Negative,No
Your platform is holding my data hostage unless I upgrade to a more expensive tier.,Subscription,Negative,No
Where can I view the audit trails for administrative configuration changes?,Security,Neutral,No
I keep getting spammy payment failure emails even though my subscription is active.,Billing,Negative,No
The transition between the trial period and the paid tier was perfectly seamless.,Subscription,Positive,No
The administrative audit trail is missing records for the days we were attacked. You can reach me at +61 2 9374 2211.,Security,Negative,Yes
Great experience with the billing team. They waived the late fee for me.,Billing,Positive,No
I need assistance changing our subscription administrator billing contact. You can reach me at 555-921-3042.,Subscription,Neutral,Yes
The onboarding benefits provided with the Business package are outstanding.,Subscription,Positive,No
Please assist me in changing my account type from personal to creator.,Account,Neutral,No
The two-factor authentication setup was incredibly seamless and easy to follow.,Security,Positive,No
Where can I locate the error logs generated by the system after a crash?,Technical,Neutral,No
The user dashboard is beautiful and makes managing my data very simple.,Account,Positive,No
"The software handles heavy data loads without any lag now, outstanding job.",Technical,Positive,No
I am being billed for a subscription that I never signed up for or authorized.,Subscription,Negative,No
Is there a way to enforce password complexity rules at the organizational level?,Security,Neutral,No
How do I revoke API access tokens for an external application I no longer use? My account reference number is #84021A.,Security,Neutral,Yes
Your system let an unauthorized user bypass my security settings entirely.,Security,Negative,No
Thanks for helping me merge my two accounts so seamlessly! My account reference number is ID_77301B.,Account,Positive,Yes
The notification system is broken and I am not receiving critical system alerts.,Technical,Negative,No
Really appreciate the billing department's flexibility during my company's transition.,Billing,Positive,No
The biometric login integration works perfectly on my mobile device.,Security,Positive,No
Could you confirm if this feature is compatible with iOS 15 and above?,Technical,Neutral,No
Thank you for clear instructions on how to update my account preferences.,Account,Positive,No
Thank you for helping me correct the spelling of my name on the profile.,Account,Positive,No
Is a bank wire transfer an acceptable method for high-tier accounts?,Billing,Neutral,No
Thanks for confirming my transaction went through successfully. You can reach me at 07700 900077.,Billing,Positive,Yes
The billing dashboard is incredibly easy to navigate and understand.,Billing,Positive,No
The developer dashboard is extremely well-designed and intuitive.,Technical,Positive,No
I really appreciate the robust security protocols you have in place to protect our data.,Security,Positive,No
Can I prepay for the next six months in advance? You can reach me at 555-921-3042.,Billing,Neutral,Yes
I encountered a critical bug that deletes historical records when modifying categories.,Technical,Negative,No
What are the storage limits associated with the entry-level subscription tier?,Subscription,Neutral,No
I cannot access features I previously paid for because you restructured the tiers.,Subscription,Negative,No
How do I verify the authenticity of an official email claiming to be from your team?,Security,Neutral,No
Where do I enter a promo code before finalizing the check out?,Billing,Neutral,No
Your platform does not support modern security practices like hardware keys.,Security,Negative,No
You guys charged my account without my authorization. This is illegal.,Billing,Negative,No
Super fast response from support when I couldn't find my account details.,Account,Positive,No
How can I completely delete my account and remove all personal information?,Account,Neutral,No
What are the requirements for a valid username on your platform?,Account,Neutral,No
I am seeing another user's personal dashboard data when I log into my own account!,Security,Negative,No
The transition to the new payment gateway went smoothly. Great job!,Billing,Positive,No
Can I change the billing cycle from the 1st of the month to the 15th?,Billing,Neutral,No
What is the process for requesting a complete reset of my account password?,Security,Neutral,No
What is the weather like today?,Out-of-Scope,Neutral,No
Will it rain this afternoon?,Out-of-Scope,Neutral,No
Is it going to be sunny tomorrow?,Out-of-Scope,Neutral,No
The weather is really pleasant today.,Out-of-Scope,Positive,No
The heat today is unbearable.,Out-of-Scope,Negative,No
What is the capital of France?,Out-of-Scope,Neutral,No
How many planets are in the solar system?,Out-of-Scope,Neutral,No
What is the largest ocean on Earth?,Out-of-Scope,Neutral,No
Can you explain photosynthesis?,Out-of-Scope,Positive,No
Who was the first person to walk on the moon?,Out-of-Scope,Negative,No
How do I make pasta at home?,Out-of-Scope,Neutral,No
What ingredients do I need for pancakes?,Out-of-Scope,Neutral,No
What is a good recipe for vegetable soup?,Out-of-Scope,Neutral,No
I love homemade pizza.,Out-of-Scope,Positive,No
My cake came out completely burnt.,Out-of-Scope,Negative,No
How do I plan a trip to Goa?,Out-of-Scope,Neutral,No
What are some places to visit in Mumbai?,Out-of-Scope,Neutral,No
What should I pack for a weekend trip?,Out-of-Scope,Neutral,No
I am excited about my vacation next month.,Out-of-Scope,Positive,No
My flight was exhausting and uncomfortable.,Out-of-Scope,Negative,No
What is a good movie to watch tonight?,Out-of-Scope,Neutral,No
Can you recommend a comedy series?,Out-of-Scope,Neutral,No
Who is the singer of this song?,Out-of-Scope,Neutral,No
I really enjoyed that movie.,Out-of-Scope,Positive,No
The ending of the show was disappointing.,Out-of-Scope,Negative,No
Who won the cricket match yesterday?,Out-of-Scope,Neutral,No
When is the next football game?,Out-of-Scope,Neutral,No
Which team has won the most World Cups?,Out-of-Scope,Neutral,No
I love watching cricket.,Out-of-Scope,Positive,No
That was a terrible match to watch.,Out-of-Scope,Negative,No
Tell me a joke.,Out-of-Scope,Neutral,No
"Good morning, how are you?",Out-of-Scope,Neutral,No
What are you doing today?,Out-of-Scope,Neutral,No
I am feeling great today.,Out-of-Scope,Positive,No
I had a really bad day.,Out-of-Scope,Negative,No
How can I improve my study habits?,Out-of-Scope,Neutral,No
What is the best way to prepare for an exam?,Out-of-Scope,Neutral,No
Can you explain the difference between AI and ML?,Out-of-Scope,Neutral,No
I am happy with my exam results.,Out-of-Scope,Positive,No
I am worried about my upcoming exam.,Out-of-Scope,Negative,No
What are some good Python projects for beginners?,Out-of-Scope,Neutral,No
How does a neural network work?,Out-of-Scope,Neutral,No
What is the difference between SQL and NoSQL?,Out-of-Scope,Neutral,No
I really enjoy programming in Python.,Out-of-Scope,Positive,No
My code keeps giving me errors and it is frustrating.,Out-of-Scope,Negative,No
How can I start exercising regularly?,Out-of-Scope,Neutral,No
What are some healthy vegetarian meals?,Out-of-Scope,Neutral,No
How many steps should I walk in a day?,Out-of-Scope,Neutral,No
I feel energetic after my workout.,Out-of-Scope,Positive,No
I am exhausted after today's workout.,Out-of-Scope,Negative,No
What is a good book to read?,Out-of-Scope,Neutral,No
Who wrote Harry Potter?,Out-of-Scope,Neutral,No
Can you recommend a mystery novel?,Out-of-Scope,Neutral,No
I absolutely loved the book I finished yesterday.,Out-of-Scope,Positive,No
The book was boring and difficult to finish.,Out-of-Scope,Negative,No
How do I grow a small plant at home?,Out-of-Scope,Neutral,No
Which plants are easy to grow indoors?,Out-of-Scope,Neutral,No
What is the best time to water plants?,Out-of-Scope,Neutral,No
My garden looks beautiful this year.,Out-of-Scope,Positive,No
The plants in my garden are dying.,Out-of-Scope,Negative,No
What is the best laptop for students?,Out-of-Scope,Neutral,No
Which phone has the best camera?,Out-of-Scope,Neutral,No
How much RAM does a typical laptop need?,Out-of-Scope,Neutral,No
I really like my new headphones.,Out-of-Scope,Positive,No
My old laptop is extremely slow.,Out-of-Scope,Negative,No
What is the meaning of the word resilience?,Out-of-Scope,Neutral,No
Can you help me learn a new language?,Out-of-Scope,Neutral,No
What is the difference between affect and effect?,Out-of-Scope,Neutral,No
I am enjoying learning German.,Out-of-Scope,Positive,No
I am struggling to remember new vocabulary.,Out-of-Scope,Negative,No
What causes a rainbow?,Out-of-Scope,Neutral,No
Why does the sky change color at sunset?,Out-of-Scope,Neutral,No
What time does the sun rise tomorrow?,Out-of-Scope,Neutral,No
The sunset looked beautiful yesterday.,Out-of-Scope,Positive,No
The rain ruined my outdoor plans.,Out-of-Scope,Negative,No
How can I decorate my room?,Out-of-Scope,Neutral,No
What color is best for a bedroom?,Out-of-Scope,Neutral,No
Can you suggest some simple DIY decorations?,Out-of-Scope,Neutral,No
I love the new furniture in my room.,Out-of-Scope,Positive,No
My room looks messy and depressing.,Out-of-Scope,Negative,No
What are some good career options after graduation?,Out-of-Scope,Neutral,No
How should I prepare for an interview?,Out-of-Scope,Neutral,No
What skills are useful for a data analyst?,Out-of-Scope,Neutral,No
I am excited about starting my new job.,Out-of-Scope,Positive,No
I am unhappy with my current job.,Out-of-Scope,Negative,No
What is a good way to save money?,Out-of-Scope,Neutral,No
How does compound interest work?,Out-of-Scope,Neutral,No
What is the difference between saving and investing?,Out-of-Scope,Neutral,No
I am happy that I reached my savings goal.,Out-of-Scope,Positive,No
My expenses have become difficult to manage.,Out-of-Scope,Negative,No
Can you suggest a fun weekend activity?,Out-of-Scope,Neutral,No
What are some indoor activities for a rainy day?,Out-of-Scope,Neutral,No
Where can I go for a short weekend trip?,Out-of-Scope,Neutral,No
I had an amazing weekend with my friends.,Out-of-Scope,Positive,No
My weekend was boring and uneventful.,Out-of-Scope,Negative,No
What is the best way to learn photography?,Out-of-Scope,Neutral,No
Which camera is good for beginners?,Out-of-Scope,Neutral,No
How does exposure work in photography?,Out-of-Scope,Neutral,No
I took some beautiful photographs today.,Out-of-Scope,Positive,No
My photos turned out blurry.,Out-of-Scope,Negative,No
Can you suggest some music for studying?,Out-of-Scope,Neutral,No
Who is the singer of this song?,Out-of-Scope,Neutral,No
What is the difference between jazz and blues?,Out-of-Scope,Neutral,No
This song makes me really happy.,Out-of-Scope,Positive,No
I cannot stand this song.,Out-of-Scope,Negative,No
What are some interesting places to visit in India?,Out-of-Scope,Neutral,No
What is the best season to visit Kerala?,Out-of-Scope,Neutral,No
How long does it take to travel from Pune to Mumbai?,Out-of-Scope,Neutral,No
I had an amazing trip to Jaipur.,Out-of-Scope,Positive,No
The traffic during my trip was terrible.,Out-of-Scope,Negative,No
Can you explain how electric vehicles work?,Out-of-Scope,Neutral,No
What is renewable energy?,Out-of-Scope,Neutral,No
How does solar power generate electricity?,Out-of-Scope,Neutral,No
I really like the design of electric cars.,Out-of-Scope,Positive,No
The traffic today was extremely frustrating.,Out-of-Scope,Negative,No
What is a good hobby to start?,Out-of-Scope,Neutral,No
How can I learn to play guitar?,Out-of-Scope,Neutral,No
What are some relaxing hobbies?,Out-of-Scope,Neutral,No
I am having a wonderful time learning to paint.,Out-of-Scope,Positive,No
I am frustrated because I cannot draw well.,Out-of-Scope,Negative,No
My email address is example@gmail.com and I want a recipe for pasta.,Out-of-Scope,Neutral,Yes
You can reach me at 9876543210 if you need to discuss the weather.,Out-of-Scope,Neutral,Yes
My name is Alex Smith and I want to know who won the cricket match.,Out-of-Scope,Neutral,Yes
I live at 123 Example Street and I need a movie recommendation.,Out-of-Scope,Neutral,Yes
My email is alex@example.com and I am looking for travel ideas.,Out-of-Scope,Neutral,Yes
